staff_id,date,department,shift,absent
S022,2025-01-04,Surgery,Night,False
S023,2025-01-04,Surgery,Day,False
S024,2025-01-04,ER,Night,False
S025,2025-01-04,Ward,Night,False
S026,2025-01-04,ER,Day,False
S027,2025-01-04,Surgery,Night,False
S028,2025-01-04,ICU,Night,False
S029,2025-01-04,Surgery,Night,False
S030,2025-01-04,ER,Night,False
S031,2025-01-04,ICU,Day,False
S032,2025-01-04,ER,Day,False
S033,2025-01-04,ER,Day,False
S034,2025-01-04,ICU,Night,False
S035,2025-01-04,ER,Day,False
S036,2025-01-04,Surgery,Night,False
S037,2025-01-04,ICU,Day,False
S038,2025-01-04,ICU,Day,False
S039,2025-01-04,ICU,Day,False
S040,2025-01-04,ICU,Night,False
S041,2025-01-04,ICU,Night,False
S042,2025-01-04,Ward,Night,False
S043,2025-01-04,Ward,Night,False
S044,2025-01-04,Surgery,Day,False
S045,2025-01-04,Ward,Day,False
S046,2025-01-04,Ward,Night,False
S047,2025-01-04,Surgery,Night,False
S048,2025-01-04,ICU,Day,False
S049,2025-01-04,ICU,Day,False
S050,2025-01-04,ICU,Day,False
S051,2025-01-04,Ward,Day,False
S052,2025-01-04,Ward,Day,False
S053,2025-01-04,Ward,Night,False
S054,2025-01-04,ICU,Day,False
S055,2025-01-04,ER,Night,False
S056,2025-01-04,ICU,Day,False
S057,2025-01-04,Surgery,Night,False
S058,2025-01-04,Ward,Day,False
S059,2025-01-04,ER,Day,True
S060,2025-01-04,Ward,Night,False
S001,2025-01-05,Surgery,Night,False
S002,2025-01-05,ER,Night,False
S003,2025-01-05,Surgery,Night,False
S004,2025-01-05,Surgery,Night,False
S005,2025-01-05,Ward,Night,False
S006,2025-01-05,ICU,Day,False
S007,2025-01-05,Ward,Night,False
S008,2025-01-05,ER,Night,False
S009,2025-01-05,Surgery,Day,False
S010,2025-01-05,ICU,Night,False
S011,2025-01-05,ER,Night,False
S012,2025-01-05,Ward,Night,False
S013,2025-01-05,ICU,Night,False
S014,2025-01-05,Ward,Night,False
S015,2025-01-05,ICU,Day,False
S016,2025-01-05,ICU,Day,False
S017,2025-01-05,ICU,Night,False
S018,2025-01-05,ER,Day,False
S019,2025-01-05,Ward,Night,False
S020,2025-01-05,ICU,Night,False
S021,2025-01-05,Surgery,Night,False
S022,2025-01-05,Surgery,Day,False
S023,2025-01-05,Ward,Night,False
S024,2025-01-05,Surgery,Night,False
S025,2025-01-05,ER,Day,True
S026,2025-01-05,Surgery,Night,False
S027,2025-01-05,Surgery,Day,False
S028,2025-01-05,ICU,Night,False
S029,2025-01-05,ICU,,False
S030,2025-01-05,Ward,Night,False
S031,2025-01-05,Surgery,Day,False
S032,2025-01-05,Ward,Night,False
S033,2025-01-05,Surgery,Night,False
S034,2025-01-05,Ward,Day,False
S035,2025-01-05,ER,Day,False
S036,2025-01-05,Surgery,Night,False
S037,2025-01-05,Surgery,Day,False
S038,2025-01-05,ER,Day,False
S039,2025-01-05,Surgery,Night,False
S040,2025-01-05,ER,Day,False
S041,2025-01-05,Ward,Night,False
S042,2025-01-05,Surgery,Night,False
S043,2025-01-05,ICU,Day,False
S044,2025-01-05,ER,Night,False
S045,2025-01-05,ICU,Night,False
S046,2025-01-05,Surgery,Day,False
S047,2025-01-05,ICU,Night,False
S048,2025-01-05,Surgery,Night,False
S049,2025-01-05,Ward,Day,False
S050,2025-01-05,ER,Night,False
S051,2025-01-05,ICU,Day,False
S052,2025-01-05,Surgery,Night,False
S053,2025-01-05,Ward,Night,False
S054,2025-01-05,ER,Night,False
S055,2025-01-05,Surgery,Day,False
S056,2025-01-05,ER,Night,False
S057,2025-01-05,Ward,Day,False
S058,2025-01-05,Ward,Day,False
S059,2025-01-05,ICU,Night,False
S060,2025-01-05,Surgery,Day,False
S001,2025-01-06,Ward,Day,False
S002,2025-01-06,ICU,Day,False
S003,2025-01-06,Surgery,Night,False
S004,2025-01-06,Surgery,Night,False
S005,2025-01-06,ER,Day,False
S006,2025-01-06,Ward,Night,False
S007,2025-01-06,ICU,Night,False
S008,2025-01-06,ER,Day,False
S009,2025-01-06,Surgery,Day,False
S010,2025-01-06,ICU,Day,False
S011,2025-01-06,ICU,Night,False
S012,2025-01-06,ER,Night,False
S013,2025-01-06,Surgery,Night,False
S014,2025-01-06,Surgery,Day,False
S015,2025-01-06,Ward,Night,False
S016,2025-01-06,ICU,Day,False
S017,2025-01-06,ER,Night,False
S018,2025-01-06,ER,Night,False
S019,2025-01-06,Surgery,Day,False
S020,2025-01-06,Ward,,False
S021,2025-01-06,ICU,Night,False
S022,2025-01-06,ER,Day,False
S023,2025-01-06,ICU,Day,False
S024,2025-01-06,ER,Night,False
S025,2025-01-06,Ward,Day,False
S026,2025-01-06,ER,Day,False
S027,2025-01-06,ER,Night,False
S028,2025-01-06,Surgery,Night,False
S029,2025-01-06,ER,Day,False
S030,2025-01-06,ER,Day,False
S031,2025-01-06,Surgery,Night,False
S032,2025-01-06,Ward,Day,False
S033,2025-01-06,ER,Night,False
S034,2025-01-06,Ward,Night,False
S035,2025-01-06,ICU,Night,False
S036,2025-01-06,ICU,Day,False
S037,2025-01-06,Surgery,Night,False
S038,2025-01-06,Ward,Night,False
S039,2025-01-06,ER,Night,False
S040,2025-01-06,ER,Night,False
S041,2025-01-06,Surgery,Day,False
S042,2025-01-06,Ward,Night,False
S043,2025-01-06,ICU,Day,False
S044,2025-01-06,ER,Night,False
S045,2025-01-06,Ward,Day,False
S046,2025-01-06,ICU,Day,False
S047,2025-01-06,ER,Day,False
S048,2025-01-06,Surgery,Night,False
S049,2025-01-06,Ward,Day,False
S050,2025-01-06,ER,Day,True
S051,2025-01-06,ER,Day,False
S052,2025-01-06,Surgery,Day,False
S053,2025-01-06,Ward,Night,False
S054,2025-01-06,Surgery,Day,False
S055,2025-01-06,Ward,Night,False
S056,2025-01-06,Ward,Day,False
S057,2025-01-06,Surgery,Day,False
S058,2025-01-06,ICU,Day,False
S059,2025-01-06,ER,Night,False
S060,2025-01-06,ER,Day,False
S001,2025-01-07,Surgery,Night,False
S002,2025-01-07,Ward,Night,False
S003,2025-01-07,ER,Day,False
S004,2025-01-07,Surgery,Night,False
S005,2025-01-07,Ward,Night,False
S006,2025-01-07,Ward,Night,False
S007,2025-01-07,Ward,Day,False
S008,2025-01-07,ER,Night,False
S009,2025-01-07,ER,Day,True
S010,2025-01-07,ICU,Day,False
S011,2025-01-07,Ward,Night,False
S012,2025-01-07,ICU,Night,False
S013,2025-01-07,ICU,Night,False
S014,2025-01-07,ICU,Night,False
S015,2025-01-07,ICU,Day,False
S016,2025-01-07,ER,Day,False
S017,2025-01-07,Surgery,Day,False
S018,2025-01-07,Surgery,Night,False
S019,2025-01-07,ER,Night,False
S020,2025-01-07,ER,Night,False
S021,2025-01-07,Surgery,Night,False
S022,2025-01-07,ER,Night,False
S023,2025-01-07,ICU,Day,False
S024,2025-01-07,ER,Night,False
S025,2025-01-07,Surgery,Day,False
S026,2025-01-07,ICU,Night,True
S027,2025-01-07,Surgery,Day,False
S028,2025-01-07,Ward,Night,False
S029,2025-01-07,ER,Day,False
S030,2025-01-07,Ward,Day,False
S031,2025-01-07,ER,,False
S032,2025-01-07,ER,Day,False
S033,2025-01-07,ICU,Night,False
S034,2025-01-07,ICU,Day,False
S035,2025-01-07,ER,Day,False
S036,2025-01-07,ICU,Day,False
S037,2025-01-07,Surgery,Day,False
S038,2025-01-07,ER,Night,False
S039,2025-01-07,ICU,Day,False
S040,2025-01-07,Ward,Day,False
S041,2025-01-07,ICU,Day,False
S042,2025-01-07,Surgery,Night,False
S043,2025-01-07,ER,Day,False
S044,2025-01-07,Surgery,Night,False
S045,2025-01-07,Surgery,Day,False
S046,2025-01-07,ICU,Night,False
S047,2025-01-07,ICU,Day,False
S048,2025-01-07,Ward,Day,False
S049,2025-01-07,ICU,Day,False
S050,2025-01-07,ICU,Day,False
S051,2025-01-07,Surgery,Day,False
S052,2025-01-07,ER,Day,False
S053,2025-01-07,Ward,Day,False
S054,2025-01-07,ICU,Day,False
S055,2025-01-07,Ward,Day,False
S056,2025-01-07,ER,Night,False
S057,2025-01-07,Surgery,Night,False
S058,2025-01-07,ICU,Day,False
S059,2025-01-07,Surgery,Day,False
S060,2025-01-07,Ward,Day,False
S001,2025-01-08,ICU,Day,False
S002,2025-01-08,Ward,Day,False
S003,2025-01-08,Surgery,Day,False
S004,2025-01-08,ICU,Day,True
S005,2025-01-08,ICU,Day,False
S006,2025-01-08,ER,Day,False
S007,2025-01-08,ER,Night,False
S008,2025-01-08,ER,Night,False
S009,2025-01-08,Surgery,Night,False
S010,2025-01-08,Surgery,Night,False
S011,2025-01-08,ICU,Day,False
S012,2025-01-08,Ward,Day,False
S013,2025-01-08,Ward,Night,False
S014,2025-01-08,ER,Day,False
S015,2025-01-08,ER,Day,False
S016,2025-01-08,Surgery,Night,False
S017,2025-01-08,Surgery,Day,False
S018,2025-01-08,ER,Day,False
S019,2025-01-08,ER,Night,False
S020,2025-01-08,ER,Night,False
S021,2025-01-08,ER,Night,False
S022,2025-01-08,ER,Day,False
S023,2025-01-08,ER,Day,False
S024,2025-01-08,ICU,Day,False
S025,2025-01-08,ICU,Night,False
S026,2025-01-08,ER,Day,False
S027,2025-01-08,ER,Day,True
S028,2025-01-08,ER,Night,False
S029,2025-01-08,Ward,Day,False
S030,2025-01-08,ER,Day,False
S031,2025-01-08,ER,Night,False
S032,2025-01-08,ICU,Night,False
S033,2025-01-08,ICU,Night,False
S034,2025-01-08,Surgery,Night,False
S035,2025-01-08,Ward,Day,False
S036,2025-01-08,Ward,Day,False
S037,2025-01-08,ICU,Night,False
S038,2025-01-08,ICU,Night,False
S039,2025-01-08,Ward,Night,False
S040,2025-01-08,Ward,Night,False
S041,2025-01-08,Surgery,Day,False
S042,2025-01-08,Ward,Night,False
S043,2025-01-08,Ward,Day,False
S044,2025-01-08,ER,Night,False
S045,2025-01-08,Surgery,Day,False
S046,2025-01-08,Surgery,Day,False
S047,2025-01-08,ICU,Night,False
S048,2025-01-08,Ward,Day,False
S049,2025-01-08,ICU,Day,False
S050,2025-01-08,Surgery,Day,False
S051,2025-01-08,Ward,Night,False
S052,2025-01-08,ER,Night,False
S053,2025-01-08,Ward,Day,False
S054,2025-01-08,Surgery,Day,False
S055,2025-01-08,ER,Night,False
S056,2025-01-08,ICU,Day,False
S057,2025-01-08,Ward,Night,False
S058,2025-01-08,Ward,Night,False
S059,2025-01-08,Surgery,Day,False
S060,2025-01-08,Surgery,Day,False
S001,2025-01-09,ER,Day,False
S002,2025-01-09,Ward,Day,False
S003,2025-01-09,ER,Day,False
S004,2025-01-09,Ward,Night,False
S005,2025-01-09,Surgery,Night,False
S006,2025-01-09,ICU,Night,False
S007,2025-01-09,ER,Night,False
S008,2025-01-09,Surgery,Night,False
S009,2025-01-09,ICU,Day,False
S010,2025-01-09,ICU,Day,False
S011,2025-01-09,ER,Night,False
S012,2025-01-09,ER,Night,False
S013,2025-01-09,Ward,Night,False
S014,2025-01-09,Ward,Day,False
S015,2025-01-09,ER,Day,False
S016,2025-01-09,ICU,Night,False
S017,2025-01-09,Ward,Night,False
S018,2025-01-09,Ward,Day,True
S019,2025-01-09,Surgery,Day,False
S020,2025-01-09,ICU,Day,False
S021,2025-01-09,ICU,Night,False
S022,2025-01-09,Ward,Day,False
S023,2025-01-09,Surgery,Day,False
S024,2025-01-09,Ward,Night,False
S025,2025-01-09,Surgery,Night,False
S026,2025-01-09,ICU,Night,False
S027,2025-01-09,Surgery,Day,False
S028,2025-01-09,ER,Day,False
S029,2025-01-09,ER,Day,False
S030,2025-01-09,ICU,Day,False
S031,2025-01-09,ICU,Day,False
S032,2025-01-09,ER,Night,False
S033,2025-01-09,ICU,Night,False
S034,2025-01-09,ER,Day,False
S035,2025-01-09,Surgery,Night,False
S036,2025-01-09,Ward,Day,False
S037,2025-01-09,Surgery,Night,False
S038,2025-01-09,Ward,Night,False
S039,2025-01-09,Ward,Day,False
S040,2025-01-09,Ward,Night,False
S041,2025-01-09,Surgery,Night,False
S042,2025-01-09,Ward,Day,False
S043,2025-01-09,Ward,Night,False
S044,2025-01-09,Surgery,Day,False
S045,2025-01-09,ICU,Night,False
S046,2025-01-09,ICU,Day,False
S047,2025-01-09,Surgery,Day,False
S048,2025-01-09,ER,Night,False
S049,2025-01-09,ER,Night,False
S050,2025-01-09,ER,Day,False
S051,2025-01-09,ER,Night,False
S052,2025-01-09,Surgery,Day,False
S053,2025-01-09,Ward,Day,False
S054,2025-01-09,ICU,Night,False
S055,2025-01-09,Ward,Night,False
S056,2025-01-09,ICU,Day,True
S057,2025-01-09,Ward,Night,False
S058,2025-01-09,ER,Day,False
S059,2025-01-09,ICU,Day,True
S060,2025-01-09,ICU,Night,False
S001,2025-01-10,ICU,Night,False
S002,2025-01-10,Surgery,Day,False
S003,2025-01-10,ICU,Day,False
S004,2025-01-10,Surgery,Day,False
S005,2025-01-10,Surgery,Night,False
S006,2025-01-10,ICU,Day,False
S007,2025-01-10,Surgery,Day,False
S008,2025-01-10,ER,Night,False
S009,2025-01-10,ER,Day,False
S010,2025-01-10,ICU,Night,False
S011,2025-01-10,ER,Day,False
S012,2025-01-10,ER,Day,False
S013,2025-01-10,ICU,Night,False
S014,2025-01-10,ICU,Night,False
S015,2025-01-10,Ward,Night,False
S016,2025-01-10,Surgery,Day,False
S017,2025-01-10,ER,Night,False
S018,2025-01-10,ER,Day,False
S019,2025-01-10,Surgery,Night,False
S020,2025-01-10,ICU,Night,False
S021,2025-01-10,ER,Day,False
S022,2025-01-10,ICU,Day,False
S023,2025-01-10,Surgery,Night,False
S024,2025-01-10,ER,Night,False
S025,2025-01-10,Ward,Night,False
S026,2025-01-10,Ward,Day,False
S027,2025-01-10,Ward,Day,False
S028,2025-01-10,Ward,Day,False
S029,2025-01-10,ER,Night,False
S030,2025-01-10,Ward,Night,False
S031,2025-01-10,Surgery,Night,False
S032,2025-01-10,ER,Night,False
S033,2025-01-10,ICU,Day,False
S034,2025-01-10,Surgery,Night,False
S035,2025-01-10,ICU,Night,False
S036,2025-01-10,Ward,Day,False
S037,2025-01-10,ER,Day,False
S038,2025-01-10,Surgery,Day,False
S039,2025-01-10,Surgery,Day,False
S040,2025-01-10,Surgery,Day,False
S041,2025-01-10,Surgery,Night,False
S042,2025-01-10,Surgery,Night,False
S043,2025-01-10,ER,Night,False
S044,2025-01-10,ER,Day,False
S045,2025-01-10,Ward,,False
S046,2025-01-10,Ward,Day,False
S047,2025-01-10,ER,Day,False
S048,2025-01-10,Surgery,Day,True
S049,2025-01-10,ER,Night,False
S050,2025-01-10,Surgery,Day,False
S051,2025-01-10,Ward,Day,False
S052,2025-01-10,Surgery,Night,False
S053,2025-01-10,Surgery,Day,False
S054,2025-01-10,Ward,Night,False
S055,2025-01-10,Ward,Day,False
S056,2025-01-10,Ward,Day,False
S057,2025-01-10,ER,Night,False
S058,2025-01-10,Surgery,Day,False
S059,2025-01-10,ICU,Night,False
S060,2025-01-10,Ward,Night,False
S001,2025-01-11,Surgery,Night,False
S002,2025-01-11,Surgery,,False
S003,2025-01-11,Ward,Day,False
S004,2025-01-11,Surgery,Day,False
S005,2025-01-11,ICU,Night,False
S006,2025-01-11,Surgery,Night,False
S007,2025-01-11,Ward,Night,False
S008,2025-01-11,ER,Night,False
S009,2025-01-11,Ward,Day,False
S010,2025-01-11,Ward,Day,False
S011,2025-01-11,ER,Day,False
S012,2025-01-11,Ward,Day,False
S013,2025-01-11,Ward,Day,False
S014,2025-01-11,ER,Day,False
S015,2025-01-11,ICU,Night,False
S016,2025-01-11,Ward,Day,False
S017,2025-01-11,Surgery,Night,False
S018,2025-01-11,Ward,Day,False
S019,2025-01-11,Surgery,Night,False
S020,2025-01-11,Surgery,Day,False
S021,2025-01-11,ICU,Day,False
S022,2025-01-11,Surgery,Night,False
S023,2025-01-11,ICU,Night,False
S024,2025-01-11,Ward,Day,False
S025,2025-01-11,ER,Day,False
S026,2025-01-11,ICU,Day,False
S027,2025-01-11,Surgery,Night,False
S028,2025-01-11,Surgery,Day,False
S029,2025-01-11,ICU,Day,False
S030,2025-01-11,ER,Day,False
S031,2025-01-11,ER,Night,False
S032,2025-01-11,ICU,Day,False
S033,2025-01-11,Surgery,Night,False
S034,2025-01-11,Ward,Day,False
S035,2025-01-11,Surgery,Day,False
S036,2025-01-11,Surgery,Day,False
S037,2025-01-11,Ward,,False
S038,2025-01-11,Surgery,Night,False
S039,2025-01-11,ER,Day,False
S040,2025-01-11,ER,Night,False
S041,2025-01-11,Ward,Night,False
S042,2025-01-11,ICU,Day,False
S043,2025-01-11,Ward,Day,False
S044,2025-01-11,Ward,Night,False
S045,2025-01-11,ER,Day,False
S046,2025-01-11,ER,Night,True
S047,2025-01-11,ER,Night,False
S048,2025-01-11,Ward,Day,False
S049,2025-01-11,ER,Night,False
S050,2025-01-11,Ward,Day,False
S051,2025-01-11,Surgery,Day,False
S052,2025-01-11,ICU,Night,False
S053,2025-01-11,ICU,Day,False
S054,2025-01-11,ER,Night,False
S055,2025-01-11,Surgery,Day,False
S056,2025-01-11,Surgery,Day,False
S057,2025-01-11,ER,Day,False
S058,2025-01-11,ER,Night,False
S059,2025-01-11,ICU,Night,False
S060,2025-01-11,Ward,Night,False
S001,2025-01-12,ICU,Night,False
S002,2025-01-12,ER,Night,False
S003,2025-01-12,ER,Night,False
S004,2025-01-12,Ward,Day,False
S005,2025-01-12,Surgery,Night,False
S006,2025-01-12,Ward,Day,False
S007,2025-01-12,Ward,Night,False
S008,2025-01-12,ER,Day,False
S009,2025-01-12,ER,Day,False
S010,2025-01-12,Ward,Night,True
S011,2025-01-12,Ward,Day,False
S012,2025-01-12,ER,Day,False
S013,2025-01-12,Surgery,Night,False
S014,2025-01-12,ICU,Day,False
S015,2025-01-12,ER,Day,False
S016,2025-01-12,ICU,Day,False
S017,2025-01-12,Surgery,Night,False
S018,2025-01-12,Ward,Day,False
S019,2025-01-12,Surgery,Day,False
S020,2025-01-12,Surgery,Night,False
S021,2025-01-12,ICU,Night,True
S022,2025-01-12,Ward,Night,False
S023,2025-01-12,ICU,Night,False
S024,2025-01-12,Ward,Night,False
S025,2025-01-12,Ward,Night,False
S026,2025-01-12,ICU,Night,False
S027,2025-01-12,ICU,Day,True
S028,2025-01-12,Ward,Night,True
S029,2025-01-12,Ward,Day,False
S030,2025-01-12,Ward,Day,False
S031,2025-01-12,ER,Night,False
S032,2025-01-12,ICU,Day,False
S033,2025-01-12,ER,Night,False
S034,2025-01-12,ER,Night,False
S035,2025-01-12,Surgery,Day,False
S036,2025-01-12,ICU,Night,False
S037,2025-01-12,ICU,Day,False
S038,2025-01-12,ICU,Day,False
S039,2025-01-12,Ward,Night,False
S040,2025-01-12,ER,Night,False
S041,2025-01-12,ICU,Day,False
S042,2025-01-12,Ward,Day,False
S043,2025-01-12,Surgery,Night,False
S044,2025-01-12,ICU,Day,False
S045,2025-01-12,Ward,Night,False
S046,2025-01-12,ER,Night,False
S047,2025-01-12,Ward,Day,False
S048,2025-01-12,Ward,Night,False
S049,2025-01-12,ER,Day,False
S050,2025-01-12,Ward,Day,False
S051,2025-01-12,Ward,Night,False
S052,2025-01-12,Surgery,Night,False
S053,2025-01-12,Surgery,Day,False
S054,2025-01-12,ER,Night,False
S055,2025-01-12,ICU,Day,False
S056,2025-01-12,Ward,Day,False
S057,2025-01-12,Ward,Day,False
S058,2025-01-12,Surgery,Night,False
S059,2025-01-12,ER,Night,False
S060,2025-01-12,ER,Day,False
S001,2025-01-13,ICU,Night,False
S002,2025-01-13,ER,Night,False
S003,2025-01-13,Surgery,Day,False
S004,2025-01-13,Surgery,Day,False
S005,2025-01-13,ICU,Day,False
S006,2025-01-13,ER,Day,False
S007,2025-01-13,Ward,Day,False
S008,2025-01-13,Surgery,Day,False
S009,2025-01-13,Ward,Night,False
S010,2025-01-13,ER,Night,False
S011,2025-01-13,ICU,Day,False
S012,2025-01-13,ER,Day,False
S013,2025-01-13,ER,Night,False
S014,2025-01-13,Ward,Day,False
S015,2025-01-13,ICU,Night,True
S016,2025-01-13,Ward,Night,False
